"country","year","export"
"China",1993,28768.182
"China",1994,12897
"China",1995,27081.592
"China",1996,30439.904
"China",1997,8583.756
"China",1998,6742.754
"China",1999,3570.007
"China",2000,3915.199
"China",2001,2163.002
"China",2002,2474.837
"China",2003,4300.006
"China",2004,7199.027
"China",2005,9034.787
"China",2006,17139.207
"China",2007,19840.36
"China",2008,35263.636
"China",2009,41090.655
"China",2010,37695.204
"China",2011,54692.458
"China",2012,45866.13
"China",2013,76376.174
"China",2014,68086.998
"China",2015,77335.852
"China",2016,83844.599
"China",2017,125966.236
"China",2018,158419.657
"China",2019,120453.512
"China",2020,96676.064
"China",2021,105580.601
"Russian Federation",1993,144421.488
"Russian Federation",1994,150976.176
"Russian Federation",1995,152034.048
"Russian Federation",1996,130499.008
"Russian Federation",1997,163733.712
"Russian Federation",1998,163875.744
"Russian Federation",1999,69474.012
"Russian Federation",2000,56623.004
"Russian Federation",2001,83513.733
"Russian Federation",2002,83760.076
"Russian Federation",2003,73701.232
"Russian Federation",2004,115218.731
"Russian Federation",2005,112586.414
"Russian Federation",2006,123578.347
"Russian Federation",2007,157060.58
"Russian Federation",2008,186208.465
"Russian Federation",2009,154049.794
"Russian Federation",2010,230486.114
"Russian Federation",2011,320466.506
"Russian Federation",2012,422368.26
"Russian Federation",2013,377505.849
"Russian Federation",2014,365275.195
"Russian Federation",2015,216043.098
"Russian Federation",2016,209945.098
"Russian Federation",2017,200941.958
"Russian Federation",2018,174791.676
"Russian Federation",2019,173586.782
"Russian Federation",2020,201493.89
"Russian Federation",2021,242073.951
"United States",1993,83864.328
"United States",1994,94577.592
"United States",1995,88644.992
"United States",1996,92416.384
"United States",1997,97320.16
"United States",1998,89348.144
"United States",1999,102995.232
"United States",2000,109233.574
"United States",2001,119800.231
"United States",2002,102325.471
"United States",2003,163981.143
"United States",2004,211158.78
"United States",2005,305131.821
"United States",2006,327181.456
"United States",2007,347520.264
"United States",2008,351408.658
"United States",2009,236203.474
"United States",2010,294269.835
"United States",2011,355451.125
"United States",2012,361239.84
"United States",2013,328225.29
"United States",2014,291613.422
"United States",2015,299980.853
"United States",2016,505813.585
"United States",2017,606108.121
"United States",2018,403917.637
"United States",2019,461461.89
"United States",2020,521256.739
"United States",2021,713304.813
