"country","year","export"
"China",1993,251559.648
"China",1994,85498.992
"China",1995,94641.312
"China",1996,71415.744
"China",1997,48360.204
"China",1998,45277.192
"China",1999,58689.854
"China",2000,66119.751
"China",2001,80560.683
"China",2002,153821.833
"China",2003,243341.505
"China",2004,270513.74
"China",2005,298483.911
"China",2006,400773
"China",2007,696676.527
"China",2008,777529.291
"China",2009,843971.398
"China",2010,1214996.235
"China",2011,1667836.481
"China",2012,1670839.572
"China",2013,1916664.908
"China",2014,2038260.172
"China",2015,1849509.931
"China",2016,1913741.001
"China",2017,2414363.075
"China",2018,2583493.944
"China",2019,2469651.02
"China",2020,2604680.399
"China",2021,2997803.146
"Russian Federation",1993,575302.784
"Russian Federation",1994,548103.616
"Russian Federation",1995,631930.304
"Russian Federation",1996,692735.616
"Russian Federation",1997,771280.576
"Russian Federation",1998,681875.584
"Russian Federation",1999,384866.107
"Russian Federation",2000,386505.014
"Russian Federation",2001,487367.118
"Russian Federation",2002,592707.09
"Russian Federation",2003,584525.768
"Russian Federation",2004,945896.049
"Russian Federation",2005,1401250.657
"Russian Federation",2006,1894521
"Russian Federation",2007,2861906.788
"Russian Federation",2008,3988126.713
"Russian Federation",2009,2620266.351
"Russian Federation",2010,3538199.508
"Russian Federation",2011,5215405.295
"Russian Federation",2012,6033128.654
"Russian Federation",2013,5936747.596
"Russian Federation",2014,5452117.623
"Russian Federation",2015,3199489.631
"Russian Federation",2016,3074515.354
"Russian Federation",2017,3539595.373
"Russian Federation",2018,4118115.285
"Russian Federation",2019,4303006.082
"Russian Federation",2020,4288708.874
"Russian Federation",2021,4320792.748
"United States",1993,236113.184
"United States",1994,302512.928
"United States",1995,415505.856
"United States",1996,463153.376
"United States",1997,583262.08
"United States",1998,620919.104
"United States",1999,653242.865
"United States",2000,818242.578
"United States",2001,998206.234
"United States",2002,1524845.386
"United States",2003,1189394.328
"United States",2004,1507846.986
"United States",2005,2074700.141
"United States",2006,2183107.151
"United States",2007,2351013.15
"United States",2008,2541341.036
"United States",2009,1806036.392
"United States",2010,2320765.167
"United States",2011,3134884.493
"United States",2012,3553700.312
"United States",2013,3486952.077
"United States",2014,3856227.044
"United States",2015,3687821.356
"United States",2016,3492140.647
"United States",2017,3763336.76
"United States",2018,4179060.406
"United States",2019,4639264.969
"United States",2020,4507676.436
"United States",2021,5368655.804
