"country","year","export"
"China",1993,33030
"China",1994,11720
"China",1995,21879
"China",1996,15197
"China",1997,15251
"China",1998,18850
"China",1999,70780
"China",2000,40640
"China",2001,112698
"China",2002,154693
"China",2003,178082
"China",2004,390870
"China",2005,401960
"China",2006,762040
"China",2007,1014446
"China",2008,1110516
"China",2009,1214685
"China",2010,1530089
"China",2011,1687531
"China",2012,1810642.365
"China",2013,1997306.55
"China",2014,2156226.729
"China",2015,1796783.797
"China",2016,2244571.155
"China",2017,2663851.719
"China",2018,2371480.673
"China",2019,1666400.946
"China",2020,2062772.328
"China",2021,2475922.648
"Russian Federation",1993,919059.968
"Russian Federation",1994,807038
"Russian Federation",1995,802572.992
"Russian Federation",1996,752337.024
"Russian Federation",1997,947353.984
"Russian Federation",1998,643283.008
"Russian Federation",1999,356233
"Russian Federation",2000,455388
"Russian Federation",2001,472337
"Russian Federation",2002,454853
"Russian Federation",2003,653165
"Russian Federation",2004,908854
"Russian Federation",2005,1171082
"Russian Federation",2006,1997876
"Russian Federation",2007,2959936
"Russian Federation",2008,3872211
"Russian Federation",2009,2937919
"Russian Federation",2010,3363961
"Russian Federation",2011,3571730
"Russian Federation",2012,3286884.42
"Russian Federation",2013,3373891.857
"Russian Federation",2014,2855657.654
"Russian Federation",2015,1707361.623
"Russian Federation",2016,1595367.236
"Russian Federation",2017,1919343.91
"Russian Federation",2018,1840033.183
"Russian Federation",2019,2026859.49
"Russian Federation",2020,1881814.097
"Russian Federation",2021,2067579.664
"United States",1993,346209.984
"United States",1994,430467
"United States",1995,393596
"United States",1996,449439.008
"United States",1997,589136
"United States",1998,1034347.008
"United States",1999,1297182
"United States",2000,1475016
"United States",2001,1525300
"United States",2002,1199374
"United States",2003,1349112
"United States",2004,1651985
"United States",2005,1896403
"United States",2006,2026037
"United States",2007,2206633
"United States",2008,2478477
"United States",2009,1858778
"United States",2010,1921384
"United States",2011,2268366
"United States",2012,2453641.178
"United States",2013,3292394.35
"United States",2014,3971164.63
"United States",2015,3590703.422
"United States",2016,3534177.601
"United States",2017,3188604.891
"United States",2018,3541174.219
"United States",2019,3419215.158
"United States",2020,3566932.607
"United States",2021,4143667.681
