"country","year","fdi_flow"
"UNITED STATES",1993,3.57439
"UNITED STATES",1994,2.23754
"UNITED STATES",1995,-11.04835
"UNITED STATES",1996,227.38931
"UNITED STATES",1997,93.81715
"UNITED STATES",1998,489.23282
"UNITED STATES",1999,133.12849
"UNITED STATES",2000,115.90304
"UNITED STATES",2001,103.51704
"UNITED STATES",2002,-94.29633
"UNITED STATES",2003,310.55921
"UNITED STATES",2004,-9.29546
"UNITED STATES",2005,5.33782
"UNITED STATES",2006,-1116.00258
"UNITED STATES",2007,-32.45952
"UNITED STATES",2008,-53.86381
"UNITED STATES",2009,25.0357
"UNITED STATES",2010,-17.02228
"UNITED STATES",2011,-76.5253
"UNITED STATES",2012,-73.19496
"UNITED STATES",2013,22.28376
"UNITED STATES",2014,-1.64774
"UNITED STATES",2015,20.31799
"UNITED STATES",2016,12.54389
"UNITED STATES",2017,18.98502
"UNITED STATES",2018,-20.46009
"UNITED STATES",2019,-19.6007
"UNITED STATES",2020,127.08367
"UNITED STATES",2021,61.21082
"UNITED STATES",2022,329.66828
"RUSSIAN FEDERATION",1993,0
"RUSSIAN FEDERATION",1994,0
"RUSSIAN FEDERATION",1995,0
"RUSSIAN FEDERATION",1996,4.65334
"RUSSIAN FEDERATION",1997,0
"RUSSIAN FEDERATION",1998,1.72938
"RUSSIAN FEDERATION",1999,0
"RUSSIAN FEDERATION",2000,-0.37006
"RUSSIAN FEDERATION",2001,-0.04147
"RUSSIAN FEDERATION",2002,1.20635
"RUSSIAN FEDERATION",2003,1.20911
"RUSSIAN FEDERATION",2004,2.6914
"RUSSIAN FEDERATION",2005,5.02741
"RUSSIAN FEDERATION",2006,18.91319
"RUSSIAN FEDERATION",2007,82.63569
"RUSSIAN FEDERATION",2008,9.96322
"RUSSIAN FEDERATION",2009,6.36586
"RUSSIAN FEDERATION",2010,12.93624
"RUSSIAN FEDERATION",2011,30.18007
"RUSSIAN FEDERATION",2012,26.20461
"RUSSIAN FEDERATION",2013,44.32414
"RUSSIAN FEDERATION",2014,64.901
"RUSSIAN FEDERATION",2015,46.68128
"RUSSIAN FEDERATION",2016,14.31598
"RUSSIAN FEDERATION",2017,25.23998
"RUSSIAN FEDERATION",2018,16.59464
"RUSSIAN FEDERATION",2019,40.98206
"RUSSIAN FEDERATION",2020,22.44034
"RUSSIAN FEDERATION",2021,9.40918
"RUSSIAN FEDERATION",2022,-176.09101
"CHINA",1993,0
"CHINA",1994,0
"CHINA",1995,0
"CHINA",1996,0
"CHINA",1997,0
"CHINA",1998,0
"CHINA",1999,0
"CHINA",2000,0
"CHINA",2001,0
"CHINA",2002,0
"CHINA",2003,0
"CHINA",2004,0
"CHINA",2005,0.193
"CHINA",2006,0.00813
"CHINA",2007,-0.02928
"CHINA",2008,0.47738
"CHINA",2009,0.17779
"CHINA",2010,0.43069
"CHINA",2011,0.11508
"CHINA",2012,0.1003
"CHINA",2013,0.20023
"CHINA",2014,1.11865
"CHINA",2015,3.17905
"CHINA",2016,-1.67895
"CHINA",2017,30.27657
"CHINA",2018,63.05687
"CHINA",2019,-4.80766
"CHINA",2020,26.35924
"CHINA",2021,38.86059
"CHINA",2022,45.48213
