"country","year","fdi_flow"
"Oroszország",2000,2651.0599999
"Oroszország",2001,2808.331
"Oroszország",2002,3425.021
"Oroszország",2003,7754.7579999
"Oroszország",2004,15283.751
"Oroszország",2005,14375.052
"Oroszország",2006,37441.574
"Oroszország",2007,54921.8499999
"Oroszország",2008,75855.697
"Oroszország",2009,27752.258
"Oroszország",2010,31667.969
"Oroszország",2011,36867.773
"Oroszország",2012,30187.664
"Oroszország",2013,53397.139
"Oroszország",2014,29151.662
"Oroszország",2015,11857.8099999
"Oroszország",2016,37175.767
"Oroszország",2017,25953.536
"Oroszország",2018,13227.642
"Oroszország",2019,31735.1389999
"Kína",2000,40714.8099999
"Kína",2001,46877.5899999
"Kína",2002,52742.86
"Kína",2003,53504.6999999
"Kína",2004,60630
"Kína",2005,72406
"Kína",2006,72715
"Kína",2007,83521
"Kína",2008,108312
"Kína",2009,94065
"Kína",2010,114734
"Kína",2011,123985
"Kína",2012,121073
"Kína",2013,123911
"Kína",2014,128502
"Kína",2015,135577
"Kína",2016,133711
"Kína",2017,136315
"Kína",2018,138305
"Kína",2019,141225
"Egyesült Államok",2000,314007
"Egyesült Államok",2001,159461
"Egyesült Államok",2002,74457
"Egyesült Államok",2003,53146
"Egyesült Államok",2004,135826
"Egyesült Államok",2005,104773
"Egyesült Államok",2006,237136
"Egyesült Államok",2007,215952
"Egyesült Államok",2008,306366
"Egyesült Államok",2009,143604
"Egyesült Államok",2010,198049
"Egyesült Államok",2011,229862
"Egyesült Államok",2012,199034
"Egyesült Államok",2013,201393
"Egyesült Államok",2014,201733
"Egyesült Államok",2015,467625
"Egyesült Államok",2016,471792
"Egyesült Államok",2017,277258
"Egyesült Államok",2018,253561
"Egyesült Államok",2019,246215
