"country","year","import"
"China",1993,16674.646
"China",1994,29991.59
"China",1995,44282.456
"China",1996,54625.56
"China",1997,67376.464
"China",1998,63365.288
"China",1999,75185.805
"China",2000,87346.736
"China",2001,144250.336
"China",2002,256930.585
"China",2003,406778.687
"China",2004,635628.168
"China",2005,873290.793
"China",2006,1146398.31
"China",2007,1603371.838
"China",2008,1885833.301
"China",2009,1441495.746
"China",2010,1440729.319
"China",2011,1604811.743
"China",2012,1487851.145
"China",2013,769746.958
"China",2014,588802.22
"China",2015,578390.765
"China",2016,645480.536
"China",2017,777789.766
"China",2018,952397.644
"China",2019,804120.607
"China",2020,1213404.45
"China",2021,1214411.73
"Russian Federation",1993,226935.952
"Russian Federation",1994,182980.656
"Russian Federation",1995,156964.16
"Russian Federation",1996,214047.488
"Russian Federation",1997,456639.776
"Russian Federation",1998,364073.216
"Russian Federation",1999,668063.143
"Russian Federation",2000,671950.387
"Russian Federation",2001,654139.696
"Russian Federation",2002,717192.173
"Russian Federation",2003,678469.985
"Russian Federation",2004,1205679.762
"Russian Federation",2005,1698596.898
"Russian Federation",2006,2167824.84
"Russian Federation",2007,2618796.766
"Russian Federation",2008,3200867.252
"Russian Federation",2009,2009412.822
"Russian Federation",2010,1821833.599
"Russian Federation",2011,1639948.433
"Russian Federation",2012,1583175.605
"Russian Federation",2013,988554.972
"Russian Federation",2014,1158132.583
"Russian Federation",2015,477790.619
"Russian Federation",2016,334198.396
"Russian Federation",2017,338616.079
"Russian Federation",2018,450266.191
"Russian Federation",2019,330353.208
"Russian Federation",2020,265226.294
"Russian Federation",2021,550753.723
"United States",1993,123747.952
"United States",1994,173172.192
"United States",1995,202194.432
"United States",1996,212764.48
"United States",1997,272790.208
"United States",1998,283818.656
"United States",1999,249560.859
"United States",2000,247485.54
"United States",2001,297350.58
"United States",2002,311593.249
"United States",2003,368573.185
"United States",2004,362680.3
"United States",2005,401604.818
"United States",2006,372059.967
"United States",2007,488636.798
"United States",2008,630448.829
"United States",2009,542735.043
"United States",2010,435723.804
"United States",2011,523779.269
"United States",2012,464209.94
"United States",2013,222837.141
"United States",2014,203575.171
"United States",2015,180635.715
"United States",2016,208873.429
"United States",2017,158900.222
"United States",2018,213830.832
"United States",2019,188665.241
"United States",2020,198244.969
"United States",2021,680544.843
