"country","year","import"
"China",1993,76553.776
"China",1994,101833.624
"China",1995,209513.776
"China",1996,298185.44
"China",1997,377578.112
"China",1998,519306.72
"China",1999,564735.819
"China",2000,694820.049
"China",2001,1068089.261
"China",2002,2151254.396
"China",2003,2681354.656
"China",2004,3511679.744
"China",2005,3924155.192
"China",2006,5711362
"China",2007,9193963.453
"China",2008,12442373.255
"China",2009,10546001.99
"China",2010,15332148.821
"China",2011,18905320.565
"China",2012,15672785.744
"China",2013,15486206.127
"China",2014,17426277.263
"China",2015,18998267.416
"China",2016,17648830.336
"China",2017,20498182.473
"China",2018,26052061.135
"China",2019,28337633.065
"China",2020,31037333.761
"China",2021,35084744.217
"Russian Federation",1993,1268878.976
"Russian Federation",1994,1256498.176
"Russian Federation",1995,1879137.792
"Russian Federation",1996,2059830.144
"Russian Federation",1997,1843298.688
"Russian Federation",1998,1593678.336
"Russian Federation",1999,1389652.849
"Russian Federation",2000,2079208.618
"Russian Federation",2001,1997181.588
"Russian Federation",2002,3262127.89
"Russian Federation",2003,2339298.282
"Russian Federation",2004,2793452.493
"Russian Federation",2005,4360243.143
"Russian Federation",2006,5593601
"Russian Federation",2007,5624593.417
"Russian Federation",2008,9141003.381
"Russian Federation",2009,5395162.601
"Russian Federation",2010,6812628.584
"Russian Federation",2011,8100370.332
"Russian Federation",2012,7903779.167
"Russian Federation",2013,7750046.384
"Russian Federation",2014,6248073.732
"Russian Federation",2015,4194560.296
"Russian Federation",2016,3411413.128
"Russian Federation",2017,4953432.149
"Russian Federation",2018,5849601.232
"Russian Federation",2019,5015050.421
"Russian Federation",2020,2941821.991
"Russian Federation",2021,6998958.346
"United States",1993,386117.088
"United States",1994,506686.336
"United States",1995,853075.456
"United States",1996,939904.192
"United States",1997,1030327.36
"United States",1998,1118473.728
"United States",1999,1177306.614
"United States",2000,1420801.481
"United States",2001,1451762.48
"United States",2002,1512896.929
"United States",2003,1594225.24
"United States",2004,2078718.681
"United States",2005,1986326.763
"United States",2006,2178222.561
"United States",2007,2634215.701
"United States",2008,2922338.205
"United States",2009,2202265.753
"United States",2010,2797205.762
"United States",2011,2944140.579
"United States",2012,3003996.201
"United States",2013,3099848.764
"United States",2014,3724818.924
"United States",2015,3277159.311
"United States",2016,3273747.64
"United States",2017,3964310.213
"United States",2018,4664304.958
"United States",2019,4700917.268
"United States",2020,4301515.762
"United States",2021,5201778.994
