"country","year","import"
"China",1992,39746
"China",1993,71363
"China",1994,99175
"China",1995,126090
"China",1996,191444
"China",1997,287950.016
"China",1998,434099.008
"China",1999,610175
"China",2000,938818
"China",2001,1333574
"China",2002,2084885
"China",2003,3298099
"China",2004,2874298
"China",2005,3587953
"China",2006,3858845
"China",2007,5128096
"China",2008,6129649
"China",2009,4949087
"China",2010,6173901
"China",2011,6079151
"China",2012,5412282.799
"China",2013,5360437.378
"China",2014,5140096.968
"China",2015,4776876.86
"China",2016,4866965.63
"China",2017,5291354.643
"China",2018,6377348.262
"China",2019,7157897.5
"China",2020,9017060.378
"China",2021,9825403.731
"Russian Federation",1992,1790905.984
"Russian Federation",1993,1673016.96
"Russian Federation",1994,1745839
"Russian Federation",1995,1753588.992
"Russian Federation",1996,1989187.968
"Russian Federation",1997,1833489.024
"Russian Federation",1998,1533264
"Russian Federation",1999,1631062
"Russian Federation",2000,2588598
"Russian Federation",2001,2369318
"Russian Federation",2002,2283973
"Russian Federation",2003,2957333
"Russian Federation",2004,3385003
"Russian Federation",2005,4868346
"Russian Federation",2006,6179246
"Russian Federation",2007,6491158
"Russian Federation",2008,10157294
"Russian Federation",2009,5680583
"Russian Federation",2010,6828202
"Russian Federation",2011,8880717
"Russian Federation",2012,8283260.028
"Russian Federation",2013,8540719.077
"Russian Federation",2014,7292483.517
"Russian Federation",2015,3642933.658
"Russian Federation",2016,2636732.164
"Russian Federation",2017,3574317.401
"Russian Federation",2018,4604945.123
"Russian Federation",2019,4471450.876
"Russian Federation",2020,2589051.134
"Russian Federation",2021,4269442.695
"United States",1992,316576.992
"United States",1993,339984
"United States",1994,451717
"United States",1995,474068.992
"United States",1996,566001.024
"United States",1997,793585.984
"United States",1998,985817.984
"United States",1999,967904
"United States",2000,1223605
"United States",2001,1424236
"United States",2002,1379103
"United States",2003,1530544
"United States",2004,990012
"United States",2005,1111367
"United States",2006,1293234
"United States",2007,1528247
"United States",2008,1962557
"United States",2009,1523004
"United States",2010,1576169
"United States",2011,1948962
"United States",2012,1902610.524
"United States",2013,2129184.009
"United States",2014,2019511.732
"United States",2015,1872102.39
"United States",2016,1969667.746
"United States",2017,2219097.214
"United States",2018,2145351.609
"United States",2019,2428021.833
"United States",2020,2311730.165
"United States",2021,2942947.104
