"","year","gp","country","log_senti","salience"
"1",2020,"USA","Croatia",3.00127245392961,2.91219908851951
"2",2020,"DE","Croatia",4.56781439944432,4.3115674817042
"3",2020,"CN","Croatia",3.39002408106403,1.55065146271818
"4",2020,"FR","Croatia",4.65396035015752,1.53174107902649
"5",2020,"UK","Croatia",1.94591014905531,0.321476522758647
"6",2020,"RU","Croatia",3.93182563272433,0.680773812900664
"7",2019,"DE","Croatia",4.23732194145123,4.52801591436556
"8",2019,"FR","Croatia",5.00394630594546,1.15568607019372
"9",2019,"UK","Croatia",3.8642323415918,1.16515890683465
"10",2019,"USA","Croatia",4.83892391641432,2.93657935868896
"11",2019,"CN","Croatia",3.17208366336144,1.20305025339838
"12",2019,"RU","Croatia",3.82428409112014,1.58196371903567
"13",2018,"USA","Croatia",2.51043995179317,2.41724949237761
"14",2018,"FR","Croatia",3.53222564406856,1.09581976987785
"15",2018,"CN","Croatia",4.57471097850338,0.636542366326103
"16",2018,"DE","Croatia",3.53713815010999,3.92400167595965
"17",2018,"RU","Croatia",3.02529107579554,2.00631707867341
"18",2018,"UK","Croatia",2.8094026953625,0.483449898475521
"19",2017,"FR","Croatia",3.32708940950843,1.22031427054526
"20",2017,"DE","Croatia",3.86702563949741,4.10469345547042
"21",2017,"USA","Croatia",3.72240214615258,2.62288326980832
"22",2017,"UK","Croatia",3.76120011569356,0.744867152151002
"23",2017,"RU","Croatia",4.17438726989564,1.88594023629722
"24",2017,"CN","Croatia",4.17438726989564,0.348661220155788
"25",2016,"RU","Croatia",3.8642323415918,1.52413467253967
"26",2016,"DE","Croatia",4.14313472639153,3.39882031976345
"27",2016,"USA","Croatia",3.19184715248028,2.33192604898569
"28",2016,"FR","Croatia",4.61512051684126,1.17358369785554
"29",2016,"UK","Croatia",3.89182029811063,0.579171175565073
"30",2016,"CN","Croatia",1.73460105538811,0.167654813979363
"31",2015,"UK","Croatia",2.09714111877924,0.714570364568303
"32",2015,"FR","Croatia",3.90533401727735,1.48410768025725
"33",2015,"DE","Croatia",3.04832472367316,4.76838300971541
"34",2015,"USA","Croatia",2.08406048753613,2.18493630704539
"35",2015,"CN","Croatia",3.93182563272433,0.467219084525429
"36",2015,"RU","Croatia",1.97155257966865,0.632119937887345
"37",2014,"DE","Croatia",2.86747793803031,4.0080372250423
"38",2014,"FR","Croatia",3.69386699562498,1.74492385786802
"39",2014,"RU","Croatia",3.10009228887823,0.8248730964467
"40",2014,"CN","Croatia",2.66258782702545,0.30668358714044
"41",2014,"USA","Croatia",1.72180088062114,1.84010152284264
"42",2014,"UK","Croatia",4.34380542185368,0.592216582064298
