"","year","gp","country","log_senti","salience"
"1",1994,"RU","Hungary",0.083381608939051,1.93950662798339
"2",1994,"FR","Hungary",0.676886659688165,1.31437639251767
"3",1994,"DE","Hungary",-0.422856850820034,1.65098498084537
"4",1994,"UK","Hungary",-0.769133087537867,0.705275137448507
"5",1994,"USA","Hungary",0.341303163890879,1.90744866719028
"6",1994,"CN","Hungary",-0.587786664902119,1.12202862775899
"7",1995,"DE","Hungary",-0.35707972030532,2.89861701093699
"8",1995,"RU","Hungary",-0.0153064212826755,3.30453773633448
"9",1995,"FR","Hungary",0.256107726853186,2.21255381308208
"10",1995,"UK","Hungary",0.0755075525081451,0.468809851867521
"11",1995,"USA","Hungary",-0.14671570133974,4.22500586012315
"12",1995,"CN","Hungary",0.251314428280906,0.194384572725558
"13",1996,"RU","Hungary",0.0359012915065444,2.91905971348306
"14",1996,"USA","Hungary",-0.0267574491695493,2.54482128867754
"15",1996,"FR","Hungary",0.270453768491603,1.82628351305094
"16",1996,"CN","Hungary",1.29928298413026,0.474035338086993
"17",1996,"DE","Hungary",-0.289931792185796,3.00388708977231
"18",1996,"UK","Hungary",-0.0500104205746614,0.409167344454036
"19",1997,"DE","Hungary",-0.419003776440963,2.94254703101193
"20",1997,"USA","Hungary",-0.00787405643090588,2.61792440481489
"21",1997,"RU","Hungary",0.356165476321361,5.2410846584394
"22",1997,"CN","Hungary",0.0976384695639161,0.340330172625935
"23",1997,"FR","Hungary",0.633904346997085,1.67547161908153
"24",1997,"UK","Hungary",0.460815203191329,0.570707520249645
"25",1998,"UK","Hungary",0.108213584640233,0.51082498234649
"26",1998,"USA","Hungary",-0.0976384695639161,1.84798449495936
"27",1998,"DE","Hungary",-0.367724780125317,2.74944034615905
"28",1998,"FR","Hungary",-1.17364747461102,2.08837272194594
"29",1998,"RU","Hungary",0.619039208406224,1.69022972099941
"30",1998,"CN","Hungary",0.23638877806423,0.150242641866615
"31",1999,"FR","Hungary",0.409121419311275,1.45742851313143
"32",1999,"USA","Hungary",-0.130798403768454,2.51843647069111
"33",1999,"DE","Hungary",-0.179855464298761,2.33771533506282
"34",1999,"RU","Hungary",0.189963136180921,2.47179875827091
"35",1999,"UK","Hungary",-0.653926467406664,0.769522254933396
"36",1999,"CN","Hungary",0,0.769522254933396
"37",2000,"UK","Hungary",-0.573345980747325,0.445677816535241
"38",2000,"RU","Hungary",0.356177307700545,2.00257898896502
"39",2000,"DE","Hungary",-0.282806392388297,2.73349060808281
"40",2000,"FR","Hungary",0.542324290825362,1.25978262807295
"41",2000,"USA","Hungary",-0.27827971977339,2.41854495106458
"42",2000,"CN","Hungary",0.719122666963206,0.213925351936916
"43",2001,"USA","Hungary",-0.262570471293668,4.1822341935297
"44",2001,"RU","Hungary",-0.277631736598279,2.07953196049469
"45",2001,"DE","Hungary",-0.474124256915563,3.77675442407391
"46",2001,"CN","Hungary",-0.215111379616946,0.23749529353839
"47",2001,"FR","Hungary",0.66168391110416,2.03898398354911
"48",2001,"UK","Hungary",-0.157185583522412,0.532916268427607
"49",2002,"DE","Hungary",0.0972989109867995,1.70775288183299
"50",2002,"FR","Hungary",0.306730267422475,1.04362676112016
"51",2002,"RU","Hungary",0.389464766761723,2.41931658259673
"52",2002,"UK","Hungary",-0.160342650075179,0.308344270330956
