"","country","fdi_flow","year"
"1","China","34017.587675482413",2001
"2","China","-9447.7846713098734",2002
"3","China","7554.3753144152761",2003
"4","China","633.506283802187",2004
"5","China","11335.276402054536",2005
"6","China","36523.611437922955",2006
"7","China","63885.42421705732",2007
"8","China","-19270.31711182859",2008
"9","China","-26603.7540268224",2009
"10","China","12317.853592171999",2010
"11","China","-117749.750056536",2011
"12","China","43690.039064494697",2012
"13","China","8380.1823153590594",2013
"14","France","1539339.5814711605",2001
"15","France","141874.09610065375",2002
"16","France","679841.86150965386",2003
"17","France","-175716.158399751",2004
"18","France","386544.83558876772",2005
"19","France","267346.40855116694",2006
"20","France","54309.420967106707",2007
"21","France","1165450.8686022894",2008
"22","France","559969.81872261094",2009
"23","France","-522294.94721104199",2010
"24","France","-214872.65926340999",2011
"25","France","-63469.111658479203",2012
"26","France","1039484.0342918501",2013
"27","Germany","1312529.7754876704",2001
"28","Germany","4651956.2961490722",2002
"29","Germany","162691.11096893044",2003
"30","Germany","757685.81241893303",2004
"31","Germany","1618973.0028197689",2005
"32","Germany","1924983.5221171686",2006
"33","Germany","1205039.2288861538",2007
"34","Germany","541298.33635456429",2008
"35","Germany","-925713.56733186299",2009
"36","Germany","1393285.2008218199",2010
"37","Germany","1832801.01691418",2011
"38","Germany","1232469.5447221601",2012
"39","Germany","-3021402.5461313101",2013
"40","Russian Federation","2297.1502182028498",2001
"41","Russian Federation","-5233.1089320625606",2002
"42","Russian Federation","14235.277216849114",2003
"43","Russian Federation","31630.293062526802",2004
"44","Russian Federation","3706.4898108322582",2005
"45","Russian Federation","-22878.285815383253",2006
"46","Russian Federation","-11239.02119854247",2007
"47","Russian Federation","164114.74004696214",2008
"48","Russian Federation","-40477.531608913501",2009
"49","Russian Federation","31595.1855890681",2010
"50","Russian Federation","54579.803850067903",2011
"51","Russian Federation","-92065.346601644298",2012
"52","Russian Federation","193077.761104012",2013
"53","United Kingdom","433676.49718702352",2001
"54","United Kingdom","-220082.76114192329",2002
"55","United Kingdom","635506.89146625565",2003
"56","United Kingdom","18801.688105599002",2004
"57","United Kingdom","58288.561205495556",2005
"58","United Kingdom","262552.49517342937",2006
"59","United Kingdom","-533821.11877934798",2007
"60","United Kingdom","-710214.65171112411",2008
"61","United Kingdom","-412452.891703489",2009
"62","United Kingdom","1672421.28633512",2010
"63","United Kingdom","887850.80428878299",2011
"64","United Kingdom","-1604063.93342112",2012
"65","United Kingdom","443137.673789931",2013
"66","United States","244725.21951732482",2001
"67","United States","189427.53658907622",2002
"68","United States","153593.69220257207",2003
"69","United States","505284.38059024903",2004
"70","United States","114447.18759344392",2005
"71","United States","-18453.629145329844",2006
"72","United States","412299.67901464441",2007
"73","United States","-476394.81089172879",2008
"74","United States","625868.09654528496",2009
"75","United States","367225.04000843299",2010
"76","United States","345621.63264173502",2011
"77","United States","355815.65617035201",2012
"78","United States","1160017.1145412701",2013
