ROK,WEB_PUBL_DATE,MENA,R1_AREA,R1_POPIS_LNG,S1_POPIS_LNG,H_HODNOTA_PUBL
2014,2016-03-22 10:00:00,CZK,W1,REST OF THE WORLD,Registered capital,1332907.23907048
2014,2016-03-22 10:00:00,EUR,W1,REST OF THE WORLD,Registered capital,48076.0050160679
2014,2016-03-22 10:00:00,USD,W1,REST OF THE WORLD,Registered capital,58373.7951769502
2015,2017-03-21 10:00:00,CZK,W1,REST OF THE WORLD,Registered capital,1482024.58882759
2015,2017-03-21 10:00:00,EUR,W1,REST OF THE WORLD,Registered capital,54839.0227133243
2015,2017-03-21 10:00:00,USD,W1,REST OF THE WORLD,Registered capital,59701.2805683045
2016,2018-03-16 10:00:00,CZK,W1,REST OF THE WORLD,Registered capital,1569048.21748635
2016,2018-03-16 10:00:00,EUR,W1,REST OF THE WORLD,Registered capital,58069.8822163712
2016,2018-03-16 10:00:00,USD,W1,REST OF THE WORLD,Registered capital,61197.7151014607
2017,2019-03-15 10:00:00,CZK,W1,REST OF THE WORLD,Registered capital,1658868.51763869
2017,2019-03-15 10:00:00,EUR,W1,REST OF THE WORLD,Registered capital,64951.7822098156
2017,2019-03-15 10:00:00,USD,W1,REST OF THE WORLD,Registered capital,77914.0725019346
2018,2020-03-13 10:00:00,CZK,W1,REST OF THE WORLD,Registered capital,1777308.97317575
2018,2020-03-13 10:00:00,EUR,W1,REST OF THE WORLD,Registered capital,69088.7841856463
2018,2020-03-13 10:00:00,USD,W1,REST OF THE WORLD,Registered capital,79111.055513921
2019,2021-03-16 10:00:00,CZK,W1,REST OF THE WORLD,Registered capital,1895463.89890631
2019,2021-03-16 10:00:00,EUR,W1,REST OF THE WORLD,Registered capital,74595.1947621531
2019,2021-03-16 10:00:00,USD,W1,REST OF THE WORLD,Registered capital,83792.2239912608
2020,2022-03-23 10:00:00,CZK,W1,REST OF THE WORLD,Registered capital,2105086.13886575
2020,2022-03-23 10:00:00,EUR,W1,REST OF THE WORLD,Registered capital,80209.0355826156
2020,2022-03-23 10:00:00,USD,W1,REST OF THE WORLD,Registered capital,98428.3040569387
2021,2023-03-23 10:00:00,CZK,W1,REST OF THE WORLD,Registered capital,2236806.33458066
2021,2023-03-23 10:00:00,EUR,W1,REST OF THE WORLD,Registered capital,89976.1196532848
2021,2023-03-23 10:00:00,USD,W1,REST OF THE WORLD,Registered capital,101899.97424175
2014,2016-03-22 10:00:00,CZK,W1,REST OF THE WORLD,Reinvestment of earnings,1189925.71089844
2014,2016-03-22 10:00:00,EUR,W1,REST OF THE WORLD,Reinvestment of earnings,42918.8714480951
2014,2016-03-22 10:00:00,USD,W1,REST OF THE WORLD,Reinvestment of earnings,52112.0132652377
2015,2017-03-21 10:00:00,CZK,W1,REST OF THE WORLD,Reinvestment of earnings,1235655.32331366
2015,2017-03-21 10:00:00,EUR,W1,REST OF THE WORLD,Reinvestment of earnings,45722.6761633177
2015,2017-03-21 10:00:00,USD,W1,REST OF THE WORLD,Reinvestment of earnings,49776.6404815365
2016,2018-03-16 10:00:00,CZK,W1,REST OF THE WORLD,Reinvestment of earnings,1310028.37670226
2016,2018-03-16 10:00:00,EUR,W1,REST OF THE WORLD,Reinvestment of earnings,48483.6556884626
2016,2018-03-16 10:00:00,USD,W1,REST OF THE WORLD,Reinvestment of earnings,51095.1432077016
2017,2019-03-15 10:00:00,CZK,W1,REST OF THE WORLD,Reinvestment of earnings,1412506.54871203
