"","cal_yr","gp","country","npos","nneg","nneu","nmention","log_senti","add_senti"
"1",2020,"OTHER","Croatia",23925,6078,25622,55625,1.37018688074852,0.320844943820225
"2",2020,"USA","Croatia",46,2,36,84,2.92316158071916,0.523809523809524
"3",2020,"DE","Croatia",104,1,65,170,4.2437219632967,0.605882352941176
"4",2020,"RU","Croatia",22,0,8,30,3.80666248977032,0.733333333333333
"5",2020,"CN","Croatia",43,1,40,84,3.36729582998647,0.5
"6",2020,"FR","Croatia",47,0,24,71,4.55387689160054,0.661971830985915
"7",2020,"UK","Croatia",8,1,6,15,1.73460105538811,0.466666666666667
"8",2019,"OTHER","Croatia",47695,13430,50864,111989,1.26730881389736,0.305967550384413
"9",2019,"DE","Croatia",237,6,124,367,3.5983654465731,0.629427792915531
"10",2019,"FR","Croatia",56,0,30,86,4.72738781871234,0.651162790697674
"11",2019,"UK","Croatia",75,1,58,134,3.91866754814681,0.552238805970149
"12",2019,"USA","Croatia",57,1,52,110,3.64631983969514,0.509090909090909
"13",2019,"RU","Croatia",90,0,35,125,5.19849703126583,0.72
"14",2019,"CN","Croatia",69,2,40,111,3.32503602069659,0.603603603603604
"15",2018,"OTHER","Croatia",56434,18309,58199,132942,1.12566062278687,0.286779196943028
"16",2018,"FR","Croatia",60,1,43,104,3.69717825692863,0.567307692307692
"17",2018,"DE","Croatia",246,5,115,366,3.80261390124432,0.658469945355191
"18",2018,"CN","Croatia",37,1,28,66,3.2188758248682,0.545454545454545
"19",2018,"RU","Croatia",105,4,69,178,3.15463355613985,0.567415730337079
"20",2018,"USA","Croatia",92,3,51,146,3.27444567602301,0.60958904109589
"21",2018,"UK","Croatia",41,3,17,61,2.47293045874128,0.622950819672131
"22",2017,"OTHER","Croatia",63090,15567,55092,133749,1.39938479577309,0.355314806092008
"23",2017,"FR","Croatia",71,1,35,107,3.8642323415918,0.654205607476635
"24",2017,"DE","Croatia",271,5,118,394,3.89921404713556,0.6751269035533
"25",2017,"USA","Croatia",71,1,47,119,3.8642323415918,0.588235294117647
"26",2017,"UK","Croatia",65,0,24,89,4.87519732320115,0.730337078651685
"27",2017,"RU","Croatia",119,0,55,174,5.47646355193151,0.683908045977011
"28",2017,"CN","Croatia",34,0,11,45,4.23410650459726,0.755555555555556
"29",2016,"OTHER","Croatia",31233,8240,30060,69533,1.33243021504923,0.330677520026462
"30",2016,"USA","Croatia",29,1,18,48,2.97892515523761,0.583333333333333
"31",2016,"RU","Croatia",55,1,22,78,3.61091791264422,0.692307692307692
"32",2016,"FR","Croatia",41,0,21,62,4.4188406077966,0.661290322580645
"33",2016,"UK","Croatia",22,0,11,33,3.80666248977032,0.666666666666667
"34",2016,"CN","Croatia",6,0,4,10,2.56494935746154,0.6
"35",2016,"DE","Croatia",101,0,49,150,5.31320597904179,0.673333333333333
"36",2015,"OTHER","Croatia",34800,12256,30768,77824,1.04357534598257,0.289679276315789
"37",2015,"UK","Croatia",25,1,21,47,2.83321334405622,0.51063829787234
"38",2015,"FR","Croatia",53,0,19,72,4.67282883446191,0.736111111111111
"39",2015,"DE","Croatia",181,6,49,236,3.32945347680331,0.741525423728814
"40",2015,"USA","Croatia",46,2,13,61,2.92316158071916,0.721311475409836
"41",2015,"CN","Croatia",20,0,11,31,3.71357206670431,0.645161290322581
