"","cal_yr","gp","country","npos","nneg","nneu","nmention","log_senti","add_senti"
"1",1993,"OTHER","Czechia",6693,19010,23148,48851,-1.04385455185698,-0.252134040244826
"2",1993,"RU","Czechia",24,20,23,67,0.178248231406319,0.0597014925373134
"3",1993,"DE","Czechia",31,70,109,210,-0.805625163986636,-0.185714285714286
"4",1993,"USA","Czechia",14,16,33,63,-0.129211731480006,-0.0317460317460317
"5",1993,"FR","Czechia",7,3,24,34,0.762140052046897,0.117647058823529
"6",1993,"CN","Czechia",2,1,1,4,0.510825623765991,0.25
"7",1993,"UK","Czechia",9,8,21,38,0.111225635110224,0.0263157894736842
"8",1994,"OTHER","Czechia",5355,15066,18230,38651,-1.03434966593944,-0.251248350624822
"9",1994,"USA","Czechia",14,14,37,65,0,0
"10",1994,"FR","Czechia",1,0,17,18,1.09861228866811,0.0555555555555556
"11",1994,"DE","Czechia",30,31,51,112,-0.0322608622182214,-0.00892857142857143
"12",1994,"RU","Czechia",17,8,20,45,0.722134717433197,0.2
"13",1994,"UK","Czechia",7,5,13,25,0.310154928303839,0.08
"14",1994,"CN","Czechia",2,3,4,9,-0.336472236621213,-0.111111111111111
"15",1995,"OTHER","Czechia",5862,18308,22459,46629,-1.13878929911144,-0.266915438889961
"16",1995,"USA","Czechia",18,21,45,84,-0.150282203049338,-0.0357142857142857
"17",1995,"DE","Czechia",35,57,98,190,-0.482252251321935,-0.115789473684211
"18",1995,"FR","Czechia",12,19,30,61,-0.444685821261446,-0.114754098360656
"19",1995,"RU","Czechia",57,30,90,177,0.634058264189939,0.152542372881356
"20",1995,"UK","Czechia",10,10,13,33,0,0
"21",1995,"CN","Czechia",7,8,6,21,-0.125163142954006,-0.0476190476190476
"22",1996,"OTHER","Czechia",5701,18797,22718,47216,-1.19299458415477,-0.277363605557438
"23",1996,"RU","Czechia",21,18,20,59,0.150282203049338,0.0508474576271186
"24",1996,"DE","Czechia",34,63,91,188,-0.610080581861332,-0.154255319148936
"25",1996,"USA","Czechia",24,24,67,115,0,0
"26",1996,"UK","Czechia",15,14,33,62,0.0666913744986721,0.0161290322580645
"27",1996,"FR","Czechia",19,3,296,318,1.71765149707433,0.050314465408805
"28",1996,"CN","Czechia",9,9,10,28,0,0
"29",1997,"OTHER","Czechia",13740,31718,36272,81730,-0.836552430637709,-0.219968187935886
"30",1997,"FR","Czechia",65,19,91,175,1.21163567707151,0.262857142857143
"31",1997,"DE","Czechia",229,336,387,952,-0.382695119584183,-0.112394957983193
"32",1997,"CN","Czechia",26,17,15,58,0.414943852062708,0.155172413793103
"33",1997,"USA","Czechia",45,33,115,193,0.306166887125884,0.0621761658031088
