"","cal_yr","gp","country","npos","nneg","nneu","nmention","log_senti","add_senti"
"1",1994,"OTHER","Hungary",8846,11171,17575,37592,-0.233343991766484,-0.0618482655884231
"2",1994,"RU","Hungary",15,7,31,53,0.725937003382936,0.150943396226415
"3",1994,"FR","Hungary",16,2,24,42,1.88706964903238,0.333333333333333
"4",1994,"DE","Hungary",13,15,8,36,-0.138150338480817,-0.0555555555555556
"5",1994,"UK","Hungary",5,5,10,20,0,0
"6",1994,"CN","Hungary",4,9,21,34,-0.747214401830221,-0.147058823529412
"7",1994,"USA","Hungary",29,9,37,75,1.13309846473928,0.266666666666667
"8",1995,"OTHER","Hungary",26755,31774,51587,110116,-0.171924021626153,-0.045579207381307
"9",1995,"CN","Hungary",15,15,8,38,0,0
"10",1995,"DE","Hungary",45,60,88,193,-0.284931039079891,-0.077720207253886
"11",1995,"RU","Hungary",85,54,95,234,0.450315674273516,0.132478632478632
"12",1995,"FR","Hungary",53,27,78,158,0.665495649229435,0.164556962025316
"13",1995,"UK","Hungary",22,16,25,63,0.310154928303839,0.0952380952380952
"14",1995,"USA","Hungary",136,59,209,404,0.83034830207343,0.190594059405941
"15",1996,"OTHER","Hungary",31141,34913,60407,126461,-0.114332239094677,-0.0298273776104886
"16",1996,"RU","Hungary",79,42,72,193,0.626252945729915,0.191709844559585
"17",1996,"CN","Hungary",38,32,43,113,0.169418151958047,0.0530973451327434
"18",1996,"USA","Hungary",93,46,164,303,0.698509123701331,0.155115511551155
"19",1996,"DE","Hungary",56,88,107,251,-0.448761913861489,-0.127490039840637
"20",1996,"FR","Hungary",60,11,101,172,1.66029632966759,0.284883720930233
"21",1996,"UK","Hungary",17,11,33,61,0.419853845560264,0.0983606557377049
"22",1997,"OTHER","Hungary",28897,34806,57587,121290,-0.186049064761826,-0.0487179487179487
"23",1997,"DE","Hungary",54,55,94,203,-0.0181823190831905,-0.00492610837438424
"24",1997,"USA","Hungary",63,24,153,240,0.952366788347965,0.1625
"25",1997,"RU","Hungary",173,76,131,380,0.818886858554424,0.255263157894737
"26",1997,"FR","Hungary",57,9,93,159,1.80049314919681,0.30188679245283
"27",1997,"CN","Hungary",19,22,21,62,-0.143100843640673,-0.0483870967741935
"28",1997,"UK","Hungary",24,11,44,79,0.756326082181477,0.164556962025316
"29",1998,"OTHER","Hungary",15370,23834,34647,73851,-0.438684022956995,-0.114609145441497
"30",1998,"UK","Hungary",15,7,17,39,0.725937003382936,0.205128205128205
"31",1998,"USA","Hungary",45,20,110,175,0.797287439812542,0.142857142857143
"32",1998,"DE","Hungary",34,40,78,152,-0.160342650075179,-0.0394736842105263
"33",1998,"FR","Hungary",29,2,50,81,2.46809953147162,0.333333333333333
"34",1998,"RU","Hungary",36,12,27,75,1.07158361628019,0.32
"35",1998,"CN","Hungary",5,3,2,10,0.451985123743057,0.2
"36",1999,"OTHER","Hungary",20007,31048,47586,98641,-0.439443294774754,-0.111931144250362
