"","gp","year","country.x","npos","nneg","nneu","nmention","log_senti","add_senti","import","export"
"1","CN",2004,"Croatia",7,2,4,13,1.09861228866811,0.384615384615385,635628.168,7199.027
"2","CN",2005,"Croatia",7,2,3,12,1.09861228866811,0.416666666666667,873290.793,9034.787
"3","CN",2006,"Croatia",10,0,6,16,3.04452243772342,0.625,1146398.31,17139.207
"4","CN",2007,"Croatia",13,2,8,23,1.68639895357023,0.478260869565217,1603371.838,19840.36
"5","CN",2008,"Croatia",17,1,8,26,2.4567357728213,0.615384615384615,1885833.301,35263.636
"6","CN",2009,"Croatia",15,2,4,21,1.82454929205105,0.619047619047619,1441495.746,41090.655
"7","CN",2010,"Croatia",6,3,2,11,0.619039208406224,0.272727272727273,1440729.319,37695.204
"8","CN",2011,"Croatia",8,0,3,11,2.83321334405622,0.727272727272727,1604811.743,54692.458
"9","CN",2012,"Croatia",24,4,10,38,1.69459572077441,0.526315789473684,1487851.145,45866.13
"10","CN",2013,"Croatia",40,0,6,46,4.39444915467244,0.869565217391304,769746.958,76376.174
"11","CN",2014,"Croatia",20,0,10,30,3.71357206670431,0.666666666666667,588802.22,68086.998
"12","CN",2015,"Croatia",20,0,11,31,3.71357206670431,0.645161290322581,578390.765,77335.852
"13","CN",2016,"Croatia",6,0,4,10,2.56494935746154,0.6,645480.536,83844.599
"14","CN",2017,"Croatia",34,0,11,45,4.23410650459726,0.755555555555556,777789.766,125966.236
"15","CN",2018,"Croatia",37,1,28,66,3.2188758248682,0.545454545454545,952397.644,158419.657
"16","CN",2019,"Croatia",69,2,40,111,3.32503602069659,0.603603603603604,804120.607,120453.512
"17","CN",2020,"Croatia",43,1,40,84,3.36729582998647,0.5,1213404.45,96676.064
"18","DE",2003,"Croatia",0,0,1,1,0,0,2221010.689,733153.311
"19","DE",2004,"Croatia",26,5,31,62,1.57239664075375,0.338709677419355,2568929.266,895157.559
"20","DE",2005,"Croatia",37,4,25,66,2.12026353620009,0.5,2751126.674,936093.357
"21","DE",2006,"Croatia",46,6,36,88,1.96765013569172,0.454545454545455,3127137.863,1071445.428
"22","DE",2007,"Croatia",22,9,42,73,0.862223510603879,0.178082191780822,3718997.308,1237038.619
"23","DE",2008,"Croatia",60,12,42,114,1.57691472072854,0.421052631578947,4115890.236,1518132.923
"24","DE",2009,"Croatia",68,12,49,129,1.70110510095992,0.434108527131783,2863084.705,1148521.837
"25","DE",2010,"Croatia",38,9,73,120,1.39936644268724,0.241666666666667,2508549.013,1218669.599
"26","DE",2011,"Croatia",38,5,17,60,1.94591014905531,0.55,2858432.77,1349254.453
"27","DE",2012,"Croatia",107,4,59,170,3.17341345079144,0.605882352941176,2645561.299,1260669.253
"28","DE",2013,"Croatia",256,9,127,392,3.29583686600433,0.630102040816326,3075973.738,1496969.466
"29","DE",2014,"Croatia",170,8,92,270,2.9986691332273,0.6,3463093.478,1548656.067
"30","DE",2015,"Croatia",181,6,49,236,3.32945347680331,0.741525423728814,3196302.929,1452601.728
"31","DE",2016,"Croatia",101,0,49,150,5.31320597904179,0.673333333333333,3517263.8,1608276.765
"32","DE",2017,"Croatia",271,5,118,394,3.89921404713556,0.6751269035533,3871410.768,1939862.765
"33","DE",2018,"Croatia",246,5,115,366,3.80261390124432,0.658469945355191,4288523.819,2279042.523
"34","DE",2019,"Croatia",237,6,124,367,3.5983654465731,0.629427792915531,4328925.054,2247531.149
"35","DE",2020,"Croatia",104,1,65,170,4.2437219632967,0.605882352941176,3990133.514,2173258.142
"36","FR",2004,"Croatia",27,0,15,42,4.00733318523247,0.642857142857143,731934.797,184204.061
"37","FR",2005,"Croatia",16,1,8,25,2.39789527279837,0.6,777458.602,198553.967
