"","gp","year","country.x","npos","nneg","nneu","nmention","log_senti","add_senti","import","export"
"1","CN",1993,"Czechia",2,1,1,4,0.510825623765991,0.25,76553.776,251559.648
"2","CN",1994,"Czechia",2,3,4,9,-0.336472236621213,-0.111111111111111,101833.624,85498.992
"3","CN",1995,"Czechia",7,8,6,21,-0.125163142954006,-0.0476190476190476,209513.776,94641.312
"4","CN",1996,"Czechia",9,9,10,28,0,0,298185.44,71415.744
"5","CN",1997,"Czechia",26,17,15,58,0.414943852062708,0.155172413793103,377578.112,48360.204
"6","CN",1998,"Czechia",16,8,11,35,0.663294217410264,0.228571428571429,519306.72,45277.192
"7","CN",1999,"Czechia",16,12,14,42,0.27763173659828,0.0952380952380952,564735.819,58689.854
"8","CN",2000,"Czechia",2,5,5,12,-0.78845736036427,-0.25,694820.049,66119.751
"9","CN",2001,"Czechia",3,7,6,16,-0.762140052046897,-0.25,1068089.261,80560.683
"10","CN",2002,"Czechia",3,1,0,4,0.847297860387204,0.5,2151254.396,153821.833
"11","CN",2003,"Czechia",2,3,7,12,-0.336472236621213,-0.0833333333333333,2681354.656,243341.505
"12","CN",2004,"Czechia",5,3,4,12,0.451985123743057,0.166666666666667,3511679.744,270513.74
"13","CN",2005,"Czechia",23,24,15,62,-0.0416726964005681,-0.0161290322580645,3924155.192,298483.911
"14","CN",2006,"Czechia",39,11,42,92,1.23395363653787,0.304347826086957,5711362,400773
"15","CN",2007,"Czechia",21,13,9,43,0.465363249689233,0.186046511627907,9193963.453,696676.527
"16","CN",2008,"Czechia",55,46,73,174,0.176930708159078,0.0517241379310345,12442373.255,777529.291
"17","CN",2009,"Czechia",16,6,7,29,0.931558204004943,0.344827586206897,10546001.99,843971.398
"18","CN",2010,"Czechia",16,19,34,69,-0.167054084663166,-0.0434782608695652,15332148.821,1214996.235
"19","CN",2011,"Czechia",20,20,17,57,0,0,18905320.565,1667836.481
"20","CN",2012,"Czechia",11,18,19,48,-0.475423696715075,-0.145833333333333,15672785.744,1670839.572
"21","CN",2013,"Czechia",8,9,25,42,-0.111225635110224,-0.0238095238095238,15486206.127,1916664.908
"22","CN",2014,"Czechia",33,41,66,140,-0.214147988405632,-0.0571428571428571,17426277.263,2038260.172
"23","CN",2015,"Czechia",12,31,36,79,-0.924258901523332,-0.240506329113924,18998267.416,1849509.931
"24","CN",2016,"Czechia",152,146,201,499,0.0401391675903443,0.0120240480961924,17648830.336,1913741.001
"25","CN",2017,"Czechia",26,32,14,72,-0.204095356343515,-0.0833333333333333,20498182.473,2414363.075
