"","country","year","fdi_flow"
"1","GERMANY","1993",34.96822
"2","GERMANY","1994",6.4129
"3","GERMANY","1995",14.20709
"4","GERMANY","1996",2.00588
"5","GERMANY","1997",-58.73203
"6","GERMANY","1998",48.03618
"7","GERMANY","1999",880.08439
"8","GERMANY","2000",112.14675
"9","GERMANY","2001",662.26643
"10","GERMANY","2002",23.64235
"11","GERMANY","2003",122.00478
"12","GERMANY","2004",214.80778
"13","GERMANY","2005",-103.60101
"14","GERMANY","2006",202.95624
"15","GERMANY","2007",188.62936
"16","GERMANY","2008",416.72072
"17","GERMANY","2009",182.30683
"18","GERMANY","2010",61.40636
"19","GERMANY","2011",246.38441
"20","GERMANY","2012",-134.11118
"21","GERMANY","2013",142.68734
"22","GERMANY","2014",-809.17447
"23","GERMANY","2015",187.5038
"24","GERMANY","2016",161.83213
"25","GERMANY","2017",224.77531
"26","GERMANY","2018",202.86432
"27","GERMANY","2019",168.29241
"28","GERMANY","2020",148.3135
"29","GERMANY","2021",602.95711
"30","GERMANY","2022",176.45823
"31","UNITED KINGDOM","1993",9.85752
"32","UNITED KINGDOM","1994",0.53829
"33","UNITED KINGDOM","1995",0.20795
"34","UNITED KINGDOM","1996",0.14794
"35","UNITED KINGDOM","1997",50.22871
"36","UNITED KINGDOM","1998",3.50195
"37","UNITED KINGDOM","1999",26.60792
"38","UNITED KINGDOM","2000",84.08917
"39","UNITED KINGDOM","2001",-18.6808
"40","UNITED KINGDOM","2002",6.55408
"41","UNITED KINGDOM","2003",31.40509
"42","UNITED KINGDOM","2004",33.68716
"43","UNITED KINGDOM","2005",67.13905
"44","UNITED KINGDOM","2006",85.42961
"45","UNITED KINGDOM","2007",68.03974
"46","UNITED KINGDOM","2008",-47.58546
"47","UNITED KINGDOM","2009",39.58972
"48","UNITED KINGDOM","2010",-81.00544
"49","UNITED KINGDOM","2011",16.63677
"50","UNITED KINGDOM","2012",7.97936
"51","UNITED KINGDOM","2013",43.71072
"52","UNITED KINGDOM","2014",25.08281
"53","UNITED KINGDOM","2015",578.12407
"54","UNITED KINGDOM","2016",43.01333
"55","UNITED KINGDOM","2017",52.52183
"56","UNITED KINGDOM","2018",-90.88631
"57","UNITED KINGDOM","2019",-1.03609
"58","UNITED KINGDOM","2020",-30.65415
"59","UNITED KINGDOM","2021",268.94007
"60","UNITED KINGDOM","2022",122.28265
"61","FRANCE","1993",0
"62","FRANCE","1994",0
"63","FRANCE","1995",0.11132
"64","FRANCE","1996",4.50709
"65","FRANCE","1997",21.37053
"66","FRANCE","1998",-5.18982
"67","FRANCE","1999",6.83193
"68","FRANCE","2000",14.43972
"69","FRANCE","2001",9.75084
"70","FRANCE","2002",2.85319
"71","FRANCE","2003",104.95381
"72","FRANCE","2004",22.89671
"73","FRANCE","2005",-8.35324
"74","FRANCE","2006",1032.33141
"75","FRANCE","2007",94.25634
"76","FRANCE","2008",21.21982
"77","FRANCE","2009",25.58161
"78","FRANCE","2010",2.27996
"79","FRANCE","2011",-43.45657
"80","FRANCE","2012",-4.89696
"81","FRANCE","2013",26.69232
"82","FRANCE","2014",37.35459
"83","FRANCE","2015",19.38632
"84","FRANCE","2016",38.55154
"85","FRANCE","2017",-468.60851
"86","FRANCE","2018",3.6419
"87","FRANCE","2019",17.37206
"88","FRANCE","2020",11.1726
"89","FRANCE","2021",21.97468
"90","FRANCE","2022",134.36612
"91","UNITED STATES","1993",3.57439
"92","UNITED STATES","1994",2.23754
"93","UNITED STATES","1995",-11.04835
"94","UNITED STATES","1996",227.38931
"95","UNITED STATES","1997",93.81715
"96","UNITED STATES","1998",489.23282
"97","UNITED STATES","1999",133.12849
"98","UNITED STATES","2000",115.90304
"99","UNITED STATES","2001",103.51704
"100","UNITED STATES","2002",-94.29633
"101","UNITED STATES","2003",310.55921
"102","UNITED STATES","2004",-9.29546
"103","UNITED STATES","2005",5.33782
"104","UNITED STATES","2006",-1116.00258
"105","UNITED STATES","2007",-32.45952
"106","UNITED STATES","2008",-53.86381
"107","UNITED STATES","2009",25.0357
"108","UNITED STATES","2010",-17.02228
"109","UNITED STATES","2011",-76.5253
"110","UNITED STATES","2012",-73.19496
"111","UNITED STATES","2013",22.28376
"112","UNITED STATES","2014",-1.64774
"113","UNITED STATES","2015",20.31799
"114","UNITED STATES","2016",12.54389
"115","UNITED STATES","2017",18.98502
"116","UNITED STATES","2018",-20.46009
"117","UNITED STATES","2019",-19.6007
"118","UNITED STATES","2020",127.08367
"119","UNITED STATES","2021",61.21082
"120","UNITED STATES","2022",329.66828
"121","RUSSIAN FEDERATION","1993",0
"122","RUSSIAN FEDERATION","1994",0
"123","RUSSIAN FEDERATION","1995",0
"124","RUSSIAN FEDERATION","1996",4.65334
"125","RUSSIAN FEDERATION","1997",0
"126","RUSSIAN FEDERATION","1998",1.72938
"127","RUSSIAN FEDERATION","1999",0
"128","RUSSIAN FEDERATION","2000",-0.37006
"129","RUSSIAN FEDERATION","2001",-0.04147
"130","RUSSIAN FEDERATION","2002",1.20635
"131","RUSSIAN FEDERATION","2003",1.20911
"132","RUSSIAN FEDERATION","2004",2.6914
"133","RUSSIAN FEDERATION","2005",5.02741
"134","RUSSIAN FEDERATION","2006",18.91319
"135","RUSSIAN FEDERATION","2007",82.63569
"136","RUSSIAN FEDERATION","2008",9.96322
"137","RUSSIAN FEDERATION","2009",6.36586
"138","RUSSIAN FEDERATION","2010",12.93624
"139","RUSSIAN FEDERATION","2011",30.18007
"140","RUSSIAN FEDERATION","2012",26.20461
"141","RUSSIAN FEDERATION","2013",44.32414
"142","RUSSIAN FEDERATION","2014",64.901
"143","RUSSIAN FEDERATION","2015",46.68128
"144","RUSSIAN FEDERATION","2016",14.31598
"145","RUSSIAN FEDERATION","2017",25.23998
"146","RUSSIAN FEDERATION","2018",16.59464
"147","RUSSIAN FEDERATION","2019",40.98206
"148","RUSSIAN FEDERATION","2020",22.44034
"149","RUSSIAN FEDERATION","2021",9.40918
"150","RUSSIAN FEDERATION","2022",-176.09101
"151","CHINA","1993",0
"152","CHINA","1994",0
"153","CHINA","1995",0
"154","CHINA","1996",0
"155","CHINA","1997",0
"156","CHINA","1998",0
"157","CHINA","1999",0
"158","CHINA","2000",0
"159","CHINA","2001",0
"160","CHINA","2002",0
"161","CHINA","2003",0
"162","CHINA","2004",0
"163","CHINA","2005",0.193
"164","CHINA","2006",0.00813
"165","CHINA","2007",-0.02928
"166","CHINA","2008",0.47738
"167","CHINA","2009",0.17779
"168","CHINA","2010",0.43069
"169","CHINA","2011",0.11508
"170","CHINA","2012",0.1003
"171","CHINA","2013",0.20023
"172","CHINA","2014",1.11865
"173","CHINA","2015",3.17905
"174","CHINA","2016",-1.67895
"175","CHINA","2017",30.27657
"176","CHINA","2018",63.05687
"177","CHINA","2019",-4.80766
"178","CHINA","2020",26.35924
"179","CHINA","2021",38.86059
"180","CHINA","2022",45.48213
