"","country","year","fdi_flow"
"1","Franciaország","2000","27495.015662336467"
"2","Franciaország","2001","15946.772735814444"
"3","Franciaország","2002","21514.456731447932"
"4","Franciaország","2003","7855.0089499951473"
"5","Franciaország","2004","-2573.5796811383657"
"6","Franciaország","2005","33228.725811943492"
"7","Franciaország","2006","25325.740364628091"
"8","Franciaország","2007","63499.566132612868"
"9","Franciaország","2008","37593.425861500713"
"10","Franciaország","2009","30733.489108041613"
"11","Franciaország","2010","13890.093967909199"
"12","Franciaország","2011","31641.905595846278"
"13","Franciaország","2012","16062.053671234777"
"14","Franciaország","2013","34279.832658211039"
"15","Franciaország","2014","2672.8762086006936"
"16","Franciaország","2015","45364.687312992348"
"17","Franciaország","2016","23077.217683801555"
"18","Franciaország","2017","24832.525615390696"
"19","Franciaország","2018","38185.10339289299"
"20","Franciaország","2019","33964.714311302167"
"21","Németország","2000","198279.33941404091"
"22","Németország","2001","26401.996402627268"
"23","Németország","2002","53522.331184320734"
"24","Németország","2003","32376.765451325795"
"25","Németország","2004","-10192.178701582514"
"26","Németország","2005","47449.796050340752"
"27","Németország","2006","55654.560485535178"
"28","Németország","2007","80212.481420347685"
"29","Németország","2008","8127.0282343721383"
"30","Németország","2009","23805.596498125287"
"31","Németország","2010","65642.988166268246"
"32","Németország","2011","67513.664324290512"
"33","Németország","2012","28181.1243566056"
"34","Németország","2013","12776.78730314098"
"35","Németország","2014","-3204.0864584910923"
"36","Németország","2015","30540.882059136802"
"37","Németország","2016","15633.147373314738"
"38","Németország","2017","60353.749957524204"
"39","Németország","2018","73569.580877806249"
"40","Németország","2019","36358.641187533583"
"41","Egyesült Királyság","2000","115304.01811989451"
"42","Egyesült Királyság","2001","35948.780329804002"
"43","Egyesült Királyság","2002","19683.074474351153"
"44","Egyesült Királyság","2003","16590.146161783723"
"45","Egyesült Királyság","2004","61219.744406605882"
"46","Egyesült Királyság","2005","182927.93791977427"
"47","Egyesült Királyság","2006","147372.43025132155"
"48","Egyesült Királyság","2007","176838.63841911912"
"49","Egyesült Királyság","2008","92158.33342525085"
"50","Egyesült Királyság","2009","89709.137757255972"
"51","Egyesült Királyság","2010","58200.281529530475"
"52","Egyesült Királyság","2011","42200.400230076222"
"53","Egyesült Királyság","2012","55446.120114304307"
"54","Egyesült Királyság","2013","51675.890316730765"
"55","Egyesült Királyság","2014","24690.24073190397"
"56","Egyesült Királyság","2015","39185.700099304871"
"57","Egyesült Királyság","2016","258698.67545198006"
"58","Egyesült Királyság","2017","101240.70117634945"
"59","Egyesült Királyság","2018","65299.587741651434"
"60","Egyesült Királyság","2019","59137.149786202055"
"61","Oroszország","2000","2651.0599999000001"
"62","Oroszország","2001","2808.3310000000001"
"63","Oroszország","2002","3425.0210000000002"
"64","Oroszország","2003","7754.7579999"
"65","Oroszország","2004","15283.751"
"66","Oroszország","2005","14375.052"
"67","Oroszország","2006","37441.574000000001"
"68","Oroszország","2007","54921.849999899998"
"69","Oroszország","2008","75855.697"
"70","Oroszország","2009","27752.258000000002"
"71","Oroszország","2010","31667.969000000001"
"72","Oroszország","2011","36867.773000000001"
"73","Oroszország","2012","30187.664000000001"
"74","Oroszország","2013","53397.139000000003"
"75","Oroszország","2014","29151.662"
"76","Oroszország","2015","11857.809999900001"
"77","Oroszország","2016","37175.767"
"78","Oroszország","2017","25953.536"
"79","Oroszország","2018","13227.642"
"80","Oroszország","2019","31735.138999899998"
"81","Kína","2000","40714.809999899997"
"82","Kína","2001","46877.589999900003"
"83","Kína","2002","52742.860000000001"
"84","Kína","2003","53504.699999900004"
"85","Kína","2004","60630"
"86","Kína","2005","72406"
"87","Kína","2006","72715"
"88","Kína","2007","83521"
"89","Kína","2008","108312"
"90","Kína","2009","94065"
"91","Kína","2010","114734"
"92","Kína","2011","123985"
"93","Kína","2012","121073"
"94","Kína","2013","123911"
"95","Kína","2014","128502"
"96","Kína","2015","135577"
"97","Kína","2016","133711"
"98","Kína","2017","136315"
"99","Kína","2018","138305"
"100","Kína","2019","141225"
"101","Egyesült Államok","2000","314007"
"102","Egyesült Államok","2001","159461"
"103","Egyesült Államok","2002","74457"
"104","Egyesült Államok","2003","53146"
"105","Egyesült Államok","2004","135826"
"106","Egyesült Államok","2005","104773"
"107","Egyesült Államok","2006","237136"
"108","Egyesült Államok","2007","215952"
"109","Egyesült Államok","2008","306366"
"110","Egyesült Államok","2009","143604"
"111","Egyesült Államok","2010","198049"
"112","Egyesült Államok","2011","229862"
"113","Egyesült Államok","2012","199034"
"114","Egyesült Államok","2013","201393"
"115","Egyesült Államok","2014","201733"
"116","Egyesült Államok","2015","467625"
"117","Egyesült Államok","2016","471792"
"118","Egyesült Államok","2017","277258"
"119","Egyesült Államok","2018","253561"
"120","Egyesült Államok","2019","246215"
