"","gp","year","country.x","npos","nneg","nneu","nmention","log_senti","add_senti","import","export"
"1","CN",1994,"Hungary",4,9,21,34,-0.747214401830221,-0.147058823529412,99175,11720
"2","CN",1995,"Hungary",15,15,8,38,0,0,126090,21879
"3","CN",1996,"Hungary",38,32,43,113,0.169418151958047,0.0530973451327434,191444,15197
"4","CN",1997,"Hungary",19,22,21,62,-0.143100843640673,-0.0483870967741935,287950.016,15251
"5","CN",1998,"Hungary",5,3,2,10,0.451985123743057,0.2,434099.008,18850
"6","CN",1999,"Hungary",13,8,15,36,0.462623521948113,0.138888888888889,610175,70780
"7","CN",2000,"Hungary",14,6,8,28,0.802346472524937,0.285714285714286,938818,40640
"8","CN",2001,"Hungary",9,12,7,28,-0.27443684570176,-0.107142857142857,1333574,112698
"9","CN",2002,"Hungary",3,1,1,5,0.847297860387204,0.4,2084885,154693
"10","CN",2003,"Hungary",5,15,16,36,-1.03609193168678,-0.277777777777778,3298099,178082
"11","CN",2004,"Hungary",12,10,12,34,0.174353387144778,0.0588235294117647,2874298,390870
"12","CN",2005,"Hungary",38,24,24,86,0.451985123743057,0.162790697674419,3587953,401960
"13","CN",2006,"Hungary",11,6,4,21,0.570544858467613,0.238095238095238,3858845,762040
"14","CN",2007,"Hungary",14,9,22,45,0.422856850820034,0.111111111111111,5128096,1014446
"15","CN",2008,"Hungary",37,23,61,121,0.467340511826252,0.115702479338843,6129649,1110516
"16","CN",2009,"Hungary",24,16,32,72,0.395312736644146,0.111111111111111,4949087,1214685
"17","CN",2010,"Hungary",28,17,18,63,0.487703206345136,0.174603174603175,6173901,1530089
"18","CN",2011,"Hungary",70,34,48,152,0.714653385780909,0.236842105263158,6079151,1687531
"19","CN",2012,"Hungary",29,22,19,70,0.2708749541354,0.1,5412282.799,1810642.365
"20","CN",2013,"Hungary",35,15,31,81,0.828692672556169,0.246913580246914,5360437.378,1997306.55
"21","CN",2014,"Hungary",23,22,40,85,0.0434851119397389,0.0117647058823529,5140096.968,2156226.729
"22","CN",2015,"Hungary",32,24,56,112,0.28256697178501,0.0714285714285714,4776876.86,1796783.797
"23","CN",2016,"Hungary",38,32,50,120,0.169418151958047,0.05,4866965.63,2244571.155
"24","CN",2017,"Hungary",38,38,49,125,0,0,5291354.643,2663851.719
"25","CN",2018,"Hungary",33,40,97,170,-0.189756535281473,-0.0411764705882353,6377348.262,2371480.673
"26","CN",2019,"Hungary",52,30,31,113,0.543086485984212,0.194690265486726,7157897.5,1666400.946
"27","CN",2020,"Hungary",169,118,113,400,0.357939966245319,0.1275,9017060.378,2062772.328
"28","CN",2021,"Hungary",308,116,327,751,0.973830570339687,0.255659121171771,9825403.731,2475922.648
"29","DE",1994,"Hungary",13,15,8,36,-0.138150338480817,-0.0555555555555556,3402866,3017454
"30","DE",1995,"Hungary",45,60,88,193,-0.284931039079891,-0.077720207253886,3602394.88,3633420.032
"31","DE",1996,"Hungary",56,88,107,251,-0.448761913861489,-0.127490039840637,3796622.08,3754592
"32","DE",1997,"Hungary",54,55,94,203,-0.0181823190831905,-0.00492610837438424,5694905.856,7033150.976
"33","DE",1998,"Hungary",34,40,78,152,-0.160342650075179,-0.0394736842105263,7233585.152,8356772.864
"34","DE",1999,"Hungary",45,56,87,188,-0.21652831219549,-0.0585106382978723,8188800,9599872
"35","DE",2000,"Hungary",48,59,89,196,-0.204412514608147,-0.0561224489795918,8213042,10471263
"36","DE",2001,"Hungary",63,82,94,239,-0.261758387441989,-0.0794979079497908,8392524,10858885
"37","DE",2002,"Hungary",33,33,37,103,0,0,9144482,12162077
"38","DE",2003,"Hungary",51,48,52,151,0.060018009726253,0.0198675496688742,11682106,14595414
"39","DE",2004,"Hungary",45,59,66,170,-0.268263986594679,-0.0823529411764706,17678363,17539824
"40","DE",2005,"Hungary",112,90,102,304,0.217603370938594,0.0723684210526316,18206775,18731716
"41","DE",2006,"Hungary",29,42,39,110,-0.365113812584597,-0.118181818181818,21048974,21841723
"42","DE",2007,"Hungary",45,68,68,181,-0.409121419311275,-0.12707182320442,25396652,26824553
"43","DE",2008,"Hungary",53,76,70,199,-0.357609086930529,-0.115577889447236,27776612,28909331
"44","DE",2009,"Hungary",57,60,70,187,-0.050858417233491,-0.0160427807486631,19198627,21101987
"45","DE",2010,"Hungary",46,53,64,163,-0.14022934130865,-0.0429447852760736,20989922,23805449
"46","DE",2011,"Hungary",94,108,132,334,-0.138150338480817,-0.0419161676646707,24178676,27550353
"47","DE",2012,"Hungary",130,134,192,456,-0.0301909722791457,-0.0087719298245614,23192912.486,25694396.139
"48","DE",2013,"Hungary",103,96,106,305,0.0700286043604836,0.0229508196721311,24748861.15,27888022.586
"49","DE",2014,"Hungary",64,53,80,197,0.186983569899766,0.0558375634517767,26343462.558,30899985.817
"50","DE",2015,"Hungary",139,133,151,423,0.0439631234211162,0.0141843971631206,23774536.609,27340552.047
"51","DE",2016,"Hungary",85,113,132,330,-0.283286460978743,-0.0848484848484849,24936485.961,28293698.112
"52","DE",2017,"Hungary",77,86,112,275,-0.109866477578532,-0.0327272727272727,27675683.525,31009859.837
"53","DE",2018,"Hungary",88,81,77,246,0.0823995317670668,0.0284552845528455,30458352.546,33803393.819
"54","DE",2019,"Hungary",85,74,86,245,0.137717250557201,0.0448979591836735,29633015.787,33827808.495
"55","DE",2020,"Hungary",101,95,144,340,0.0609325509951575,0.0176470588235294,27893045.486,33478028.692
"56","DE",2021,"Hungary",82,78,91,251,0.0496996685522725,0.0159362549800797,33018771.372,37602910.253
"57","FR",1994,"Hungary",16,2,24,42,1.88706964903238,0.333333333333333,497164,379665
"58","FR",1995,"Hungary",53,27,78,158,0.665495649229435,0.164556962025316,605937.984,513500
"59","FR",1996,"Hungary",60,11,101,172,1.66029632966759,0.284883720930233,683476.992,479454.016
"60","FR",1997,"Hungary",57,9,93,159,1.80049314919681,0.30188679245283,924582.976,706099.968
"61","FR",1998,"Hungary",29,2,50,81,2.46809953147162,0.333333333333333,1229133.056,864875.008
"62","FR",1999,"Hungary",48,5,83,136,2.17681570570501,0.316176470588235,1313590,1123372
"63","FR",2000,"Hungary",50,14,73,137,1.24782468685479,0.262773722627737,1401018,1470547
"64","FR",2001,"Hungary",62,17,102,181,1.27296567581289,0.248618784530387,1579152,1818804
"65","FR",2002,"Hungary",14,4,56,74,1.17007125265025,0.135135135135135,1808097,1945066
"66","FR",2003,"Hungary",62,6,69,137,2.26336437984076,0.408759124087591,2288787,2473362
"67","FR",2004,"Hungary",66,14,77,157,1.52305329823528,0.331210191082803,2776299,3090910
"68","FR",2005,"Hungary",84,5,91,180,2.7320034421247,0.438888888888889,3259322,3186557
"69","FR",2006,"Hungary",17,4,56,77,1.35812348415319,0.168831168831169,3672134,3463762
"70","FR",2007,"Hungary",38,9,65,112,1.39936644268724,0.258928571428571,4133376,4485675
"71","FR",2008,"Hungary",53,4,82,139,2.47560425712569,0.352517985611511,4729529,5072915
"72","FR",2009,"Hungary",34,5,60,99,1.83621123179889,0.292929292929293,3384456,4497356
"73","FR",2010,"Hungary",41,17,96,154,0.863492546307184,0.155844155844156,3237860,4748050
"74","FR",2011,"Hungary",67,13,116,196,1.6094379124341,0.275510204081633,3693345,5183997
"75","FR",2012,"Hungary",76,13,124,213,1.73460105538811,0.295774647887324,3404552.005,4741081.381
"76","FR",2013,"Hungary",67,6,94,167,2.34032542097689,0.365269461077844,3767307.511,4798231.955
"77","FR",2014,"Hungary",27,2,50,79,2.39789527279837,0.316455696202532,4938423.761,5065487.228
"78","FR",2015,"Hungary",63,8,102,173,2.01097374240238,0.317919075144509,4575680.282,4640837.949
"79","FR",2016,"Hungary",47,4,69,120,2.35665231426432,0.358333333333333,3963012.795,4928435.577
