"","gp","year","country.x","npos","nneg","nneu","nmention","log_senti","add_senti","fdi_flow","import","export"
"1","CN",2000,"Hungary",14,6,8,28,0.802346472524937,0.285714285714286,40714.8099999,938818,40640
"2","CN",2001,"Hungary",9,12,7,28,-0.27443684570176,-0.107142857142857,46877.5899999,1333574,112698
"3","CN",2002,"Hungary",3,1,1,5,0.847297860387204,0.4,52742.86,2084885,154693
"4","CN",2003,"Hungary",5,15,16,36,-1.03609193168678,-0.277777777777778,53504.6999999,3298099,178082
"5","CN",2004,"Hungary",12,10,12,34,0.174353387144778,0.0588235294117647,60630,2874298,390870
"6","CN",2005,"Hungary",38,24,24,86,0.451985123743057,0.162790697674419,72406,3587953,401960
"7","CN",2006,"Hungary",11,6,4,21,0.570544858467613,0.238095238095238,72715,3858845,762040
"8","CN",2007,"Hungary",14,9,22,45,0.422856850820034,0.111111111111111,83521,5128096,1014446
"9","CN",2008,"Hungary",37,23,61,121,0.467340511826252,0.115702479338843,108312,6129649,1110516
"10","CN",2009,"Hungary",24,16,32,72,0.395312736644146,0.111111111111111,94065,4949087,1214685
"11","CN",2010,"Hungary",28,17,18,63,0.487703206345136,0.174603174603175,114734,6173901,1530089
"12","CN",2011,"Hungary",70,34,48,152,0.714653385780909,0.236842105263158,123985,6079151,1687531
"13","CN",2012,"Hungary",29,22,19,70,0.2708749541354,0.1,121073,5412282.799,1810642.365
"14","CN",2013,"Hungary",35,15,31,81,0.828692672556169,0.246913580246914,123911,5360437.378,1997306.55
"15","CN",2014,"Hungary",23,22,40,85,0.0434851119397389,0.0117647058823529,128502,5140096.968,2156226.729
"16","CN",2015,"Hungary",32,24,56,112,0.28256697178501,0.0714285714285714,135577,4776876.86,1796783.797
"17","CN",2016,"Hungary",38,32,50,120,0.169418151958047,0.05,133711,4866965.63,2244571.155
"18","CN",2017,"Hungary",38,38,49,125,0,0,136315,5291354.643,2663851.719
"19","CN",2018,"Hungary",33,40,97,170,-0.189756535281473,-0.0411764705882353,138305,6377348.262,2371480.673
"20","CN",2019,"Hungary",52,30,31,113,0.543086485984212,0.194690265486726,141225,7157897.5,1666400.946
"21","DE",2000,"Hungary",48,59,89,196,-0.204412514608147,-0.0561224489795918,198279.339414041,8213042,10471263
"22","DE",2001,"Hungary",63,82,94,239,-0.261758387441989,-0.0794979079497908,26401.9964026273,8392524,10858885
"23","DE",2002,"Hungary",33,33,37,103,0,0,53522.3311843207,9144482,12162077
"24","DE",2003,"Hungary",51,48,52,151,0.060018009726253,0.0198675496688742,32376.7654513258,11682106,14595414
"25","DE",2004,"Hungary",45,59,66,170,-0.268263986594679,-0.0823529411764706,-10192.1787015825,17678363,17539824
"26","DE",2005,"Hungary",112,90,102,304,0.217603370938594,0.0723684210526316,47449.7960503408,18206775,18731716
"27","DE",2006,"Hungary",29,42,39,110,-0.365113812584597,-0.118181818181818,55654.5604855352,21048974,21841723
"28","DE",2007,"Hungary",45,68,68,181,-0.409121419311275,-0.12707182320442,80212.4814203477,25396652,26824553
"29","DE",2008,"Hungary",53,76,70,199,-0.357609086930529,-0.115577889447236,8127.02823437214,27776612,28909331
"30","DE",2009,"Hungary",57,60,70,187,-0.050858417233491,-0.0160427807486631,23805.5964981253,19198627,21101987
"31","DE",2010,"Hungary",46,53,64,163,-0.14022934130865,-0.0429447852760736,65642.9881662682,20989922,23805449
"32","DE",2011,"Hungary",94,108,132,334,-0.138150338480817,-0.0419161676646707,67513.6643242905,24178676,27550353
"33","DE",2012,"Hungary",130,134,192,456,-0.0301909722791457,-0.0087719298245614,28181.1243566056,23192912.486,25694396.139
"34","DE",2013,"Hungary",103,96,106,305,0.0700286043604836,0.0229508196721311,12776.787303141,24748861.15,27888022.586
