"","year","country.x","gp","npos","nneg","nneu","nmention","log_senti","add_senti","import","export","merleg","eu","n_merleg","n_import","n_export","leftright","valasztasi_ev"
"1","1993","Czechia","CN",2,1,1,4,0.510825623765991,0.25,76553.776,251559.648,175005.872,0,1.034875808334,-1.01322996822839,-0.777526259320744,1,0
"2","1993","Czechia","FR",7,3,24,34,0.762140052046897,0.117647058823529,394127.904,250506.784,-143621.12,0,-0.929834548730248,-1.6916289514163,-1.33839175328249,1,0
"3","1993","Czechia","UK",9,8,21,38,0.111225635110224,0.0263157894736842,348739.2,388799.328,40060.128,0,-1.11591860639611,-1.75185441582642,-1.34705929885648,1,0
"4","1993","Czechia","DE",31,70,109,210,-0.805625163986636,-0.185714285714286,3259840.768,3352320,92479.2319999998,0,-0.987381599390288,-1.57723695776216,-1.39359579186398,1,0
"5","1993","Czechia","RU",24,20,23,67,0.178248231406319,0.0597014925373134,1268878.976,575302.784,-693576.192,0,0.860105259741832,-1.26130109371601,-1.01401382595853,1,0
"6","1993","Czechia","USA",14,16,33,63,-0.129211731480006,-0.0317460317460317,386117.088,236113.184,-150003.904,0,0.0344374160055748,-1.541343802254,-1.34205357887567,1,0
"7","1994","Czechia","DE",30,31,51,112,-0.0322608622182214,-0.00892857142857143,3795427.584,4153086.72,357659.136,0,-0.954794754993706,-1.54007053889528,-1.35732109223948,1,0
"8","1994","Czechia","CN",2,3,4,9,-0.336472236621213,-0.111111111111111,101833.624,85498.992,-16334.632,0,1.01506068447781,-1.01085168641208,-0.94369315864009,1,0
"9","1994","Czechia","FR",1,0,17,18,1.09861228866811,0.0555555555555556,547951.104,359271.776,-188679.328,0,-0.952284158058486,-1.6074834557839,-1.30903498127284,1,0
"10","1994","Czechia","RU",17,8,20,45,0.722134717433197,0.2,1256498.176,548103.616,-708394.56,0,0.848133480403616,-1.26649094346294,-1.02819892276272,1,0
"11","1994","Czechia","USA",14,14,37,65,0,0,506686.336,302512.928,-204173.408,0,-0.125916730331046,-1.45114597759558,-1.29855697359079,1,0
"12","1994","Czechia","UK",7,5,13,25,0.310154928303839,0.08,452211.584,392569.248,-59642.336,0,-1.15865856131877,-1.65623289996708,-1.34593050271197,1,0
"13","1994","Hungary","CN",4,9,21,34,-0.747214401830221,-0.147058823529412,99175,11720,-87455,0,1.41748605046671,-1.41336716542073,-1.12801759914039,0,0
"14","1994","Hungary","DE",13,15,8,36,-0.138150338480817,-0.0555555555555556,3402866,3017454,-385412,0,-1.69542110297365,-1.58299295141294,-1.67104186563169,0,0
"15","1994","Hungary","FR",16,2,24,42,1.88706964903238,0.333333333333333,497164,379665,-117499,0,-0.953826126457739,-1.72195795720453,-1.64185491817774,0,0
"16","1994","Hungary","RU",15,7,31,53,0.725937003382936,0.150943396226415,1745839,807038,-938801,0,1.07677803867061,-1.04315099786713,-0.866491519979575,0,0
"17","1994","Hungary","USA",29,9,37,75,1.13309846473928,0.266666666666667,451717,430467,-21250,0,-1.02232737439158,-1.76264276288886,-1.51416676561278,0,0
"18","1994","Hungary","UK",5,5,10,20,0,0,571116,464736,-106380,0,-1.4104268205735,-1.64611283835771,-1.55110824480335,0,0
"19","1995","Czechia","RU",57,30,90,177,0.634058264189939,0.152542372881356,1879137.792,631930.304,-1247207.488,0,0.412825794793828,-1.00548954989186,-0.984481053008224,1,0
"20","1995","Czechia","CN",7,8,6,21,-0.125163142954006,-0.0476190476190476,209513.776,94641.312,-114872.464,0,1.00485615744467,-1.00072133485776,-0.934544989509738,1,0
"21","1995","Czechia","USA",18,21,45,84,-0.150282203049338,-0.0357142857142857,853075.456,415505.856,-437569.6,0,-0.816822948087408,-1.19201236245234,-1.2245384835617,1,0
"22","1995","Czechia","DE",35,57,98,190,-0.482252251321935,-0.115789473684211,8015698.432,8144916.992,129218.56,0,-0.982866857712235,-1.24720979366652,-1.17649134438385,1,0
"23","1995","Czechia","UK",10,10,13,33,0,0,953369.984,687870.72,-265499.264,0,-1.24690428233964,-1.19309941409278,-1.25751081129631,1,0
"24","1995","Czechia","FR",12,19,30,61,-0.444685821261446,-0.114754098360656,1018422.4,570171.52,-448250.88,0,-1.08161198075229,-1.35012279508556,-1.25211100612558,1,0
"25","1995","Hungary","CN",15,15,8,38,0,0,126090,21879,-104211,0,1.40906403747609,-1.40356231009404,-1.11720297742518,0,0
"26","1995","Hungary","RU",85,54,95,234,0.450315674273516,0.132478632478632,1753588.992,802572.992,-951016,0,1.06895764101995,-1.0400993734833,-0.870490985654783,0,0
"27","1995","Hungary","DE",45,60,88,193,-0.284931039079891,-0.077720207253886,3602394.88,3633420.032,31025.1520000002,0,-1.43154208050798,-1.5619471618656,-1.61283475260373,0,0
"28","1995","Hungary","FR",53,27,78,158,0.665495649229435,0.164556962025316,605937.984,513500,-92437.9840000001,0,-0.912673205127464,-1.64638213873823,-1.57002682908434,0,0
"29","1995","Hungary","USA",136,59,209,404,0.83034830207343,0.190594059405941,474068.992,393596,-80472.992,0,-1.11822795648881,-1.72708251275657,-1.54626572699191,0,0
"30","1995","Hungary","UK",22,16,25,63,0.310154928303839,0.0952380952380952,441336.992,382928.992,-58408,0,-1.36931858506955,-1.88170196178308,-1.60081665348988,0,0
"31","1996","Czechia","DE",34,63,91,188,-0.610080581861332,-0.154255319148936,8262071.296,7891972.096,-370099.2,0,-1.04422591963259,-1.23011303775822,-1.18794973781453,1,0
"32","1996","Czechia","USA",24,24,67,115,0,0,939904.192,463153.376,-476750.816,0,-0.932808326947638,-1.12705580649008,-1.19332593294941,1,0
"33","1996","Czechia","RU",21,18,20,59,0.150282203049338,0.0508474576271186,2059830.144,692735.616,-1367094.528,0,0.315968894736285,-0.929745966496689,-0.952769449295604,1,0
"34","1996","Czechia","FR",19,3,296,318,1.71765149707433,0.050314465408805,1162057.984,628185.088,-533872.896,0,-1.12427192872661,-1.27155020391513,-1.2364525570426,1,0
"35","1996","Czechia","UK",15,14,33,62,0.0666913744986721,0.0161290322580645,1042892.416,551767.744,-491124.672,0,-1.34362425675599,-1.1103694109718,-1.29826300618775,1,0
"36","1996","Czechia","CN",9,9,10,28,0,0,298185.44,71415.744,-226769.696,0,0.993268137841436,-0.992379267052863,-0.957785416908089,1,0
"37","1996","Hungary","FR",60,11,101,172,1.66029632966759,0.284883720930233,683476.992,479454.016,-204022.976,0,-1.09590793102267,-1.59250828235117,-1.58829901477586,0,0
"38","1996","Hungary","UK",17,11,33,61,0.419853845560264,0.0983606557377049,525320,377849.984,-147470.016,0,-1.44563773641167,-1.72924677244039,-1.60390281214008,0,0
"39","1996","Hungary","DE",56,88,107,251,-0.448761913861489,-0.127490039840637,3796622.08,3754592,-42030.0800000001,0,-1.47783416351157,-1.54146057979502,-1.60138433152402,0,0
"40","1996","Hungary","CN",38,32,43,113,0.169418151958047,0.0530973451327434,191444,15197,-176247,0,1.37285682049159,-1.37975452577227,-1.12431620730027,0,0
"41","1996","Hungary","USA",93,46,164,303,0.698509123701331,0.155115511551155,566001.024,449439.008,-116562.016,0,-1.17666739516021,-1.58082592618073,-1.49765021460856,0,0
"42","1996","Hungary","RU",79,42,72,193,0.626252945729915,0.191709844559585,1989187.968,752337.024,-1236850.944,0,0.885957810931312,-0.947330299661592,-0.91548911996425,0,0
"43","1997","Czechia","USA",45,33,115,193,0.306166887125884,0.0621761658031088,1030327.36,583262.08,-447065.28,0,-0.844932337095026,-1.05941025683614,-1.11464609814213,1,1
"44","1997","Czechia","CN",26,17,15,58,0.414943852062708,0.155172413793103,377578.112,48360.204,-329217.908,0,0.982658653873391,-0.984910149826911,-0.980855707524869,1,1
"45","1997","Czechia","FR",65,19,91,175,1.21163567707151,0.262857142857143,1120710.528,724810.048,-395900.48,0,-1.05552914079165,-1.29416839270758,-1.21037250252321,1,1
"46","1997","Czechia","UK",44,35,52,131,0.225956492690824,0.0687022900763359,1054879.616,688764.928,-366114.688,0,-1.29003560040099,-1.09929172830326,-1.25724306594819,1,1
"47","1997","Czechia","DE",229,336,387,952,-0.382695119584183,-0.112394957983193,8671922.176,8131521.536,-540400.640000001,0,-1.06515354816735,-1.20167191668507,-1.17709815799211,1,1
"48","1997","Czechia","RU",65,51,62,178,0.240468334971516,0.0786516853932584,1843298.688,771280.576,-1072018.112,0,0.554361526115373,-1.0205127765674,-0.911806142584118,1,1
"49","1997","Hungary","USA",63,24,153,240,0.952366788347965,0.1625,793585.984,589136,-204449.984,0,-1.31898555582563,-1.21875626796195,-1.37603354158671,0,1
"50","1997","Hungary","UK",24,11,44,79,0.756326082181477,0.164556962025316,723342.016,630057.984,-93284.0319999999,0,-1.39920460476644,-1.36977543815215,-1.45065361449171,0,1
